Distance,Force
299.26523,256.59836
299.26523,256.59836
297.51706,258.10104
297.51706,258.10104
295.862,259.54
295.862,259.54
294.2162,260.9869
294.2162,260.9869
292.52347,262.49197
292.52347,262.49197
290.8333,264.0122
290.8333,264.0122
289.10983,265.58066
289.10983,265.58066
287.37506,267.1783
287.37506,267.1783
285.66327,268.77374
285.66327,268.77374
283.97342,270.36752
283.97342,270.36752
282.30215,271.9625
282.30215,271.9625
280.65787,273.55017
280.65787,273.55017
279.00797,275.16205
279.00797,275.16205
277.36475,276.78635
277.36475,276.78635
275.70663,278.44495
275.70663,278.44495
274.02615,280.14633
274.02615,280.14633
272.34363,281.8707
272.34363,281.8707
270.65823,283.61945
270.65823,283.61945
268.9838,285.37845
268.9838,285.37845
267.29767,287.17194
267.29767,287.17194
265.58597,289.01584
265.58597,289.01584
263.8238,290.93896
263.8238,290.93896
262.0333,292.91943
262.0333,292.91943
260.2199,294.95285
260.2199,294.95285
258.3921,297.03128
258.3921,297.03128
256.5567,299.14795
256.5567,299.14795
254.71364,301.30408
254.71364,301.30408
252.86841,303.49408
252.86841,303.49408
251.01453,305.72665
251.01453,305.72665
249.1489,308.0068
249.1489,308.0068
247.28,310.3253
247.28,310.3253
245.4008,312.692
245.4008,312.692
243.51099,315.1088
243.51099,315.1088
241.61539,317.5708
241.61539,317.5708
239.72119,320.0697
239.72119,320.0697
237.82176,322.61533
237.82176,322.61533
235.9135,325.2139
235.9135,325.2139
234.0029,327.85794
234.0029,327.85794
232.0805,330.56204
232.0805,330.56204
230.14429,333.33102
230.14429,333.33102
228.20192,336.15582
228.20192,336.15582
226.25092,339.0418
226.25092,339.0418
224.29532,341.98474
224.29532,341.98474
222.33678,344.98373
222.33678,344.98373
220.37497,348.041
220.37497,348.041
218.40942,351.15884
218.40942,351.15884
216.43607,354.34583
216.43607,354.34583
214.45364,357.6062
214.45364,357.6062
212.4642,360.93903
212.4642,360.93903
210.46994,364.34283
210.46994,364.34283
208.4732,367.81583
208.4732,367.81583
206.47533,371.35773
206.47533,371.35773
204.47667,374.96988
204.47667,374.96988
202.47736,378.65427
202.47736,378.65427
200.47781,382.41217
200.47781,382.41217
198.47794,386.24603
198.47794,386.24603
196.47794,390.15784
196.47794,390.15784
194.4782,394.1491
194.4782,394.1491
192.47894,398.22195
192.47894,398.22195
190.48022,402.37866
190.48022,402.37866
188.48158,406.62296
188.48158,406.62296
186.48285,410.95792
186.48285,410.95792
184.4839,415.3868
184.4839,415.3868
182.48529,419.91138
182.48529,419.91138
180.48726,424.53424
180.48726,424.53424
178.49031,429.2575
178.49031,429.2575
176.49492,434.0832
176.49492,434.0832
174.50122,439.01437
174.50122,439.01437
172.50893,444.05533
172.50893,444.05533
170.51752,449.21103
170.51752,449.21103
168.52628,454.48743
168.52628,454.48743
166.53564,459.88757
166.53564,459.88757
164.54568,465.4157
164.54568,465.4157
162.558,471.0718
162.558,471.0718
160.5726,476.8603
160.5726,476.8603
158.59138,482.7802
158.59138,482.7802
156.61375,488.83777
156.61375,488.83777
154.64156,495.03207
